gene	avgTPM	avgFPKM
Cpox	3.005	5.135
Cldnd1	7.14	12.125
St3gal6	0.325	0.55
Cmss1	6.79	11.56
Tbc1d23	4.395	7.475
Klhl22	12.125	20.47
Nit2	9.045	15.435
Tomm70a	28.56	48.425
Tmem30c	0.015	0.025
Tmem45a	1.825	3.14
Adgrg7	0.015	0.025
Slc7a4	0.835	1.455
Tfg	8.05	13.535
P2rx6	0.05	0.085
Lrrc74b	0.02	0.03
Thap7	5.535	9.355
Lztr1	12.845	22.085
Ncam2	0.005	0.015
Aifm3	0.885	1.54
Snap29	1.375	2.32
Serpind1	0.01	0.015
Ccdc116	0.8	1.36
Sdf2l1	29.095	50.125
Dlg1	14.2	24.08
Ppil2	16.88	28.875
Senp5	3.3	5.585
Ypel1	1.69	2.925
Ncbp2	17.545	29.83
Top3b	35.735	61.42
Meltf	0.105	0.175
Pak2	4.82	8.14
Spag6l	0.165	0.28
Wdr53	2.845	4.825
Fgd4	8.455	14.505
Dnm1l	16.375	27.79
Igsf11	0.845	1.415
Tnk2	10.555	18.105
Yars2	17.335	29.8
B4galt4	1.345	2.3
Tfrc	79.535	136.065
4930435E12Rik	0.055	0.095
Arhgap31	0.165	0.27
Fyttd1	23.98	40.69
Lrch3	2.865	4.93
Lmln	2.34	4.015
Popdc2	0.11	0.19
Maats1	0.34	0.57
Osbpl11	3.16	5.38
Snx4	10.025	16.93
Nr1i2	0.035	0.06
Zfp148	3.115	5.285
Gsk3b	3.93	6.66
Umps	14.975	25.32
Fstl1	17.89	30.435
Itgb5	14.985	25.89
Cyp2ab1	0.12	0.215
Ndufb4	9.13	15.54
Hgd	0.07	0.115
Abcc5	23.22	39.69
Muc13	0.03	0.055
Rabl3	1.455	2.455
Gtf2e1	10.04	16.985
Stxbp5l	0.045	0.075
Hcls1	0.16	0.26
Ropn1	0.02	0.03
Ccdc14	2.42	4.135
Mylk	0.055	0.095
Iqcb1	2.835	4.76
Eaf2	0.24	0.41
Adcy5	0.225	0.385
Ap2m1	34.485	58.38
Ece2	6.385	10.9
Clcn2	14.31	24.995
Pdia5	3.935	6.695
Thpo	0.125	0.225
Dirc2	8.955	15.465
Hspbap1	5.75	9.795
Ehhadh	0.28	0.475
Senp2	6.615	11.25
Tmem41a	5.8	9.875
Tmprss15	0	0
Tra2b	48.41	82.205
Chodl	0.015	0.025
Dgkg	0.06	0.095
Btg3	1.475	2.495
D16Ertd472e	4.785	8.155
Cxadr	6.8	11.7
Usp25	1.265	2.145
Ahsg	0.22	0.365
Fetub	0.8	1.37
Kng1	0.08	0.135
Samsn1	0.015	0.025
Hrg	0.005	0.005
Adipoq	0.095	0.165
Rfc4	12.82	21.685
Robo1	4.11	7.115
Eif4a2	237.675	408.035
St6gal1	2.19	3.745
Prl2a1	0.32	0.515
Masp1	0.14	0.235
Mrpl39	13.395	22.735
Atp5j	24.825	41.78
App	7.385	12.415
Adamts1	1.695	2.88
Adamts5	0.37	0.61
Ets2	3.095	5.29
Dyrk1a	7.41	12.63
Dscr3	5.995	10.175
Slc15a2	2.07	3.585
Ildr1	3.91	6.775
Cd86	0.09	0.15
Stfa2	0	0
Kpna1	8.735	14.785
Parp9	1.26	2.165
Arl13b	1.435	2.445
Pros1	8.94	15.425
Psmg1	18.715	31.815
Brwd1	20.98	36.08
Krtap15	0	0
Grik1	0	0
Fam3b	0.32	0.54
Pigp	5.04	8.485
Ripply3	0.04	0.065
Chaf1b	9.05	15.465
Dopey2	1.35	2.33
Cbr3	3.21	5.475
Setd4	6.155	10.665
Clic6	0.155	0.255
Rcan1	2.94	4.985
Runx1	1.2	2
Atp5o	81.805	139.19
Itsn1	6.635	11.37
Donson	5.535	9.475
Son	36.555	62.22
Gart	47.71	81.345
Tmem50b	2.715	4.655
Ifngr2	1.8	3.08
Ifnar1	10.35	17.77
Il10rb	0.625	1.06
Ifnar2	5.695	9.82
Cfap298	4.88	8.31
Synj1	1.855	3.155
Paxbp1	12.4	21.1
Mis18a	4.665	7.96
Sod1	205.605	349.92
Scaf4	3.82	6.545
Krt75	0.01	0.015
Zfp641	0.045	0.075
Lalba	0.025	0.04
Kansl2	20.215	34.325
4930415O20Rik	0	0
Adcy6	1.74	2.935
Enah	82.16	141.305
Wnt10b	0.17	0.295
Wnt1	0	0
Lmbr1l	11.59	19.85
Dhh	0.415	0.705
Tuba1b	278.145	470.13
Prpf40b	12.89	22.385
Fmnl3	3.225	5.465
Nckap5l	1.28	2.175
Tmbim6	102.59	175.8
Faim2	0.08	0.14
Aqp2	0	0
Racgap1	26.16	44.38
Asic1	1.56	2.7
Smarcd1	7.63	12.935
Gpd1	0.2	0.345
Cox14	16.63	28.185
Cers5	24.985	42.42
Lima1	16.695	28.655
Larp4	26.415	44.77
Dip2b	3.595	6.095
Atf1	9.135	15.325
Slc11a2	14.35	24.5
Cela1	0.315	0.535
Slc4a8	7.265	12.51
Scn8a	0.675	1.165
Nr4a1	1.915	3.24
Pcdhgc4	0.415	0.7
Krt7	3.075	5.175
Krt6b	0	0
Krt18	71.755	121.23
Csad	4.375	7.46
Soat2	1.52	2.635
Igfbp6	1.275	2.14
Amhr2	2.19	3.835
Prr13	4.3	7.21
Map3k12	4.565	7.845
Tarbp2	36.99	62.875
Npff	0.575	0.975
Calcoco1	4.64	7.9
Fabp2	0	0
Sncg	0.68	1.145
Rttn	2.22	3.79
Cdkn1a	5.065	8.495
Nus1	7.795	13.245
Rgn	0	0
Cep89	3.95	6.795
Slc10a2	0	0
Mospd1	1.125	1.88
Akirin1	6.7	11.41
Cxcl13	0	0
Gtf2ird1	7.47	12.855
H2-M10.2	0	0
Lrrc71	0.095	0.16
Noct	9.915	16.78
Abcc1	12.15	20.98
Ndufa5	33.985	57.79
Fhl1	10.065	17.17
Gm7257	0	0
Msrb2	3.375	5.73
Rfc2	21.98	37.375
Denr	16.135	27.225
Prmt5	19.54	33.41
Sympk	20.25	34.65
Gm853	0.07	0.115
Sult1c2	0	0
Gzma	0	0
Reg2	0	0
Nagpa	10.225	17.61
Wrb	23.385	40.115
Ivns1abp	17.735	30.115
Lrrc69	0.005	0.01
Tmem52	0.135	0.235
Rpp14	3.275	5.535
Psg29	0.01	0.02
Ssxb2	0	0
Slc38a1	11.68	19.98
Gps2	3.175	5.41
Bsg	214.105	368.125
Cpn2	0.005	0.005
Ceacam14	0	0
Vwa5a	2.385	4.05
P3h3	2.66	4.58
Grm2	0.235	0.395
Il15ra	0.38	0.64
Lcn9	0.02	0.03
Epb42	0.015	0.025
Serping1	1.91	3.315
Serinc2	1.315	2.275
Ccl25	2.59	4.375
Scg5	0.11	0.195
Kcnk5	18.075	31.255
Guca2a	0.03	0.055
Parp3	0.915	1.52
Cypt1	0.015	0.025
Slc26a6	3.62	6.215
Acy1	7.855	13.495
9530002B09Rik	0	0
Frs3	2.48	4.295
Gabrr2	0.01	0.02
Creld2	69.045	117.68
Cd4	0.095	0.165
Twf2	30.12	51.4
Bmp15	0.05	0.085
Zfp605	1.8	3.055
Ube2j2	14.215	24.075
Sva	0.025	0.045
March5	20.315	34.585
Ache	0.035	0.055
Dtwd1	2.17	3.69
Gcm1	0.2	0.33
Wfdc1	0.03	0.05
Mx2	0.03	0.045
Poc1a	4.135	7.025
Trip6	5.16	8.82
Clec4n	0	0
4921501E09Rik	0	0
Agap3	5.87	9.995
Tmem176a	0.755	1.24
Kcnk16	0.035	0.065
Dlx2	0.105	0.175
Slc17a9	4.155	7.235
Stk31	1.54	2.565
Nfatc4	1.465	2.565
Cela3b	0	0
Gnb3	0.04	0.065
Esx1	0.335	0.555
Pisd	17.785	30.475
Tpi1	78.13	134.14
Rab12	4.52	7.725
Tulp2	0.54	0.93
Celsr3	2.79	4.89
Prph	3.46	5.835
Pcbp4	32.615	55.93
Cdca3	28.775	49.115
C1qtnf12	1.705	2.935
Ccndbp1	4.735	8.065
Iqcf3	0	0
Ogfod2	1.95	3.38
Mrps23	25.805	43.55
1700082M22Rik	0	0
Rhebl1	9.195	15.605
Sfi1	4.685	8.045
Hes7	0.005	0.005
Pigx	14.445	24.875
Pisd-ps2	1.025	1.775
Tiam2	0.325	0.555
Nox3	0	0
Synj2	1.635	2.81
Rsph3b	0.84	1.42
Rps6ka2	2.52	4.33
Prkn	0.35	0.59
Agpat4	14.355	24.915
Slc22a3	0.025	0.05
Slc22a1	0.03	0.05
Igf2r	26.715	46.235
Acat2	10.84	18.35
Lnpep	8.215	14.025
Chd1	8.305	14.105
Mpc1	6.485	10.925
Pde10a	0.485	0.815
1700010I14Rik	0.105	0.175
Zfp54	0.665	1.125
Phf10	11.595	19.735
Thbs2	0.86	1.455
Smoc2	0.325	0.535
Zfp51	1.555	2.64
Zscan10	16.535	28.455
Mmp25	1.1	1.875
Hcfc1r1	6.69	11.32
Tnfrsf12a	24.315	41.095
Cldn6	24.605	42.965
Pkmyt1	5.59	9.66
Paqr4	0.69	1.19
Flywch2	1.97	3.38
Slc25a27	0.76	1.305
Pla2g7	1.06	1.795
Mep1a	0	0.005
Tnfrsf21	3.63	6.21
Adgrf4	0.015	0.025
Cenpq	2.72	4.625
Mut	9.955	17.085
Tbc1d5	0.405	0.68
Rhag	0.005	0.005
Satb1	1.11	1.915
Crisp2	0	0
Efhb	0.125	0.215
Cdc5l	21.145	35.855
Spats1	0.735	1.265
Aars2	8.19	14.135
Mrpl14	9.41	15.96
Sgo1	5.355	9.11
Slc29a1	103.505	179.685
Sult1c1	0	0
Hsp90ab1	364.7	622.47
Slc5a7	0.04	0.065
Nfkbie	0.43	0.74
Tcte1	0.02	0.03
Vegfa	17.14	29.765
Gtpbp2	10.1	17.515
Polh	1.82	3.075
Clic5	0.06	0.095
Enpp5	0.79	1.35
Enpp4	1.53	2.615
Cyp39a1	0.32	0.55
Calcr	0.205	0.35
Fbxl17	1.17	1.995
Rsph9	0.38	0.67
Mrps18a	19.115	32.595
Crip3	0.13	0.225
Rrp36	9.14	15.475
Ptk7	59.195	102.585
Cnpy3	19.875	34.365
Ubr2	4.845	8.27
Prph2	0.065	0.12
Guca1b	0.015	0.025
Taf8	5.44	9.345
Guca1a	2.45	4.165
Gm20517	1.265	2.14
Pgc	0.555	0.96
Bysl	10.94	18.655
Tfeb	5.655	9.745
Foxp4	7.15	12.335
Trem2	0.075	0.12
Treml1	0.025	0.04
Nfya	5.265	8.99
Tspo2	0.06	0.095
Kif6	0.095	0.165
Brd4	5.895	10.04
Stk38	15.215	25.97
Ppil1	31.325	53.14
Cpne5	1.125	1.925
Pi16	0.115	0.195
Mtch1	30.725	52.245
Fgd2	0.45	0.775
Pim1	13.245	22.615
Ccdc167	2.93	5.04
Cmtr1	18.7	32.095
Glo1	52.24	89.145
Glp1r	0.88	1.52
Tff2	0.015	0.025
Tff3	0.02	0.035
Abcg1	4.995	8.755
Tff1	0	0
Rsph1	0.32	0.55
Tmprss3	0.07	0.12
Slc37a1	5	8.66
Wdr4	13.2	22.435
Ndufv3	46.905	80.275
Cbs	2.375	4.1
Cryaa	0.05	0.08
Sik1	6.8	11.61
Arhgap28	2.34	3.93
Epb41l3	1.44	2.425
Akap8	18.245	31.185
Myl12a	97.55	165.39
Myom1	0.18	0.305
Wiz	2.75	4.715
Lpin2	2.6	4.415
Emilin2	0.17	0.28
Smchd1	7.53	12.765
Cyp4f13	3.26	5.655
Ndc80	6.74	11.39
Clip4	0.74	1.27
Lbh	0.685	1.135
Galnt14	0.585	0.98
Ehd3	0.445	0.745
Xdh	0.01	0.01
Dpy30	22.645	38.585
Spast	5.705	9.755
Slc30a6	5.485	9.435
Prkd3	5.275	8.97
Yipf4	5.735	9.79
Birc6	26.94	45.92
Crim1	5.7	9.59
Vit	0.005	0.005
Strn	3.225	5.47
Ttc27	8.185	13.935
Eif2ak2	3.04	5.155
Cebpz	11.39	19.285
Ndufaf7	2.22	3.78
Pja2	2.195	3.705
Qpct	0.575	0.995
Man2a1	8.585	14.59
Cyp1b1	1.675	2.76
4930583I09Rik	0	0
Vapa	19.645	33.205
Hnrnpll	8.235	13.995
Ralbp1	10.155	17.3
Srsf7	29.515	50.07
Twsg1	8.455	14.58
Ndufv2	22.185	37.4
Washc1	3.515	6.01
Washc2	9.485	16.21
Themis3	0.025	0.05
Lhcgr	0	0
Nrxn1	0.38	0.66
Cacna1h	0.795	1.38
Prss41	1.87	3.225
Prss21	0	0
Tedc2	7.245	12.385
Lrpprc	18.805	31.99
Atp6v0c	30.12	51.645
Pdpk1	5.68	9.695
Prss30	0	0
Sbpl	0	0
Prepl	1.995	3.39
Sbp	0	0
Abca3	2.335	3.98
Slc3a1	0.045	0.075
Eci1	5.7	9.67
Six2	0.035	0.055
Srbd1	6.8	11.6
Dnase1l2	0.32	0.545
E4f1	3.855	6.64
Epas1	1.485	2.53
Mlst8	2.83	4.83
Rhoq	1.405	2.415
Pigf	15.795	26.93
Cript	6.7	11.285
Mcfd2	20.675	35.355
Msh2	23.675	40.19
Gtf2a1l	0.16	0.275
Meiob	0.05	0.085
Hagh	8.21	14.025
Spsb3	7.955	13.56
Mapk8ip3	12.6	21.555
C3	0.05	0.09
Jpt2	15.98	26.955
Tmem204	0.1	0.17
Ift140	1.995	3.425
Telo2	8.68	14.895
Prss28	0.01	0.02
St6gal2	0.38	0.655
Tpsab1	0.005	0.005
Pot1b	0.815	1.385
Tekt4	0.015	0.025
Sox8	0.085	0.145
Nme4	25.01	43.01
Tmem8	3.985	6.84
Mrpl28	33.335	56.85
Axin1	7.555	12.93
Pdia2	0.035	0.06
Rgs11	2.47	4.335
Fam234a	5.075	8.705
Luc7l	24.465	41.65
Dusp1	4.305	7.34
Bnip1	5.37	9.17
Phf1	1.83	3.15
Cuta	9.195	15.815
Plin3	16.385	27.725
Kdm4b	6.765	11.735
Rpl36-ps2	1.15	1.925
Rfx2	2.605	4.47
Acsbg2	0.15	0.265
Uqcc2	39.855	67.735
1700061G19Rik	4.32	7.42
Ip6k3	0.03	0.05
Grm8	0.1	0.165
Mllt1	4.26	7.28
Nudt3	21.04	35.66
Spdef	0.055	0.09
Snrpc	27.815	46.91
Taf11	5.78	9.75
Anks1	2.72	4.635
Zfp523	2.255	3.9
Fkbp5	9.005	15.37
Armc12	0.01	0.025
Clpsl2	0.025	0.04
Clps	0.59	1.005
Pdzph1	0.04	0.07
Nudt12	0.695	1.175
Cul2	18.92	32.335
Bambi	1.68	2.895
Lyzl1	0.015	0.02
Mtpap	4.065	6.885
Map3k8	0.2	0.34
Svil	4.55	7.9
Zeb1	2.14	3.65
Epc1	4.005	6.82
Sos1	1.725	2.95
Map4k3	3.875	6.615
Tmem178	0.095	0.16
Thumpd2	1.545	2.64
Pkdcc	8.205	13.99
Cox7a2l	25.5	43.15
Thada	5.65	9.65
Dync2li1	1.02	1.715
Abcg8	0.02	0.03
Adcyap1	0.02	0.03
Polr2d	15.81	26.67
Slc25a46	2.65	4.515
Sap130	3.97	6.765
Syt4	0.385	0.665
Adad2	1.555	2.665
Celf4	0.78	1.35
Tpgs2	1.605	2.72
Slc39a6	5.24	8.905
Elp2	11.95	20.31
2700062C07Rik	3.985	6.745
Zscan30	0.285	0.48
Zfp397	2.78	4.73
Mapre2	2.195	3.69
Wac	17.11	29.255
Ccny	4.72	8.005
Thoc1	3.95	6.66
Rock1	5.48	9.27
Cyp4f14	0.09	0.145
Esco1	4.57	7.795
Mib1	15.41	26.325
Cyp4f41-ps	0	0
Zfp871	5.62	9.555
Adamts10	3.215	5.525
Myo1f	2.1	3.6
Kifc5b	7.585	13.045
Dtna	0.535	0.92
Cdh2	4.625	7.725
Ccdc178	0	0
Tapbp	10.955	18.895
Pfdn6	39.34	66.845
Wdr46	14.97	25.39
Mep1b	0.955	1.625
Rnf138	4.385	7.445
Vps52	5.43	9.28
Ring1	1.51	2.605
Slc39a7	65.785	113.26
Col11a2	0.285	0.485
Dsc2	1.385	2.36
H2-Oa	0.065	0.11
Brd2	48.99	84.04
Psmb8	1.045	1.75
Tap2	0.945	1.62
Btnl2	0	0
Pfdn1	33.33	56.785
Psd2	0.255	0.445
Tmem173	0.3	0.505
Dnajc18	1.94	3.29
Spata24	1.28	2.18
Mzb1	0.53	0.88
Slc23a1	1.625	2.8
Sil1	7.41	12.82
Hspa9	87.545	148.83
Etf1	37.1	62.655
Cyp21a1	0.06	0.105
Gfra3	0.145	0.26
Nelfe	11.615	19.695
Cdc23	19.565	33.345
C2	1.01	1.73
Epb41l4a	3.59	6.13
Stard4	2.97	5.035
Tslp	0	0
Bin1	6.055	10.11
Ercc3	5.62	9.57
Map3k2	1.375	2.33
Iws1	3.585	6.075
Proc	0.24	0.41
Csnk2b	18.36	31.155
Myo7b	0.02	0.03
Apom	1.885	3.19
Bag6	49.545	84.705
Prrc2a	33.1	56.27
Lims2	0.225	0.38
Aif1	0.04	0.075
Ltb	3.05	5.28
Wdr33	12.48	21.2
Tnf	0.035	0.06
Lta	0.015	0.025
Atp6v1g2	0.105	0.175
Riok3	10.315	17.475
Pou5f1	181.75	309.63
Psors1c2	1.44	2.41
Rmc1	5.95	10.11
Aqp4	0	0
Npc1	8.275	14.215
Mrpl27	10.15	17.12
Zfp521	0.14	0.235
Lama3	1.145	1.935
Dhx16	60.305	104.53
Impact	19.33	32.155
Ttc39c	1.175	1.975
Ndfip1	16.825	28.725
Atat1	2.675	4.55
Spry4	8.655	14.805
Gnl1	12.195	20.905
Cabyr	0.095	0.165
Nr3c1	3.375	5.75
Mrps18b	43.365	74.275
Gm8615	0.195	0.33
Pcdh12	0.115	0.195
Dele1	9.255	15.875
Rpp21	9.665	16.505
H2-M10.1	0.02	0.03
Arap3	1.08	1.84
Hdac3	10.16	17.33
Diaph1	23.02	39.77
Trim26	5	8.48
H2-M5	11.34	19.38
Gabbr1	17.225	29.775
Myot	0.075	0.125
Dcp2	12.075	20.46
Ik	11.99	20.265
Pggt1b	3.51	5.975
Mal2	0.31	0.53
Ap3s1	3.045	5.08
Lvrn	0.035	0.06
Ankhd1	10.525	17.95
Slc4a9	0.06	0.1
Hbegf	9.435	16.02
Yipf5	16.095	27.435
Rbm27	4.855	8.215
Lars	30.88	52.775
Pou4f3	0.135	0.23
Tcerg1	9.885	16.84
Ppp2r2b	0.12	0.205
Dpysl3	4.4	7.395
Jakmip2	0.36	0.625
Spink1	41.47	71.32
Dtwd2	1.685	2.855
Hsd17b4	7.26	12.325
Ftmt	0	0
Rab27b	0.12	0.195
Dynap	0.11	0.185
Mbd2	5.96	10.135
Smad4	12.11	20.6
Sec11c	10.76	18.205
Grp	0.205	0.35
Rax	0.065	0.11
Cplx4	0	0
Pmaip1	1.955	3.29
Gnal	0.17	0.285
Impa2	10.93	18.545
Cidea	1.805	3.005
Afg3l2	14.89	25.44
Srfbp1	9.875	16.74
Lox	0.63	1.06
Prelid3a	0.545	0.95
1700034E13Rik	0	0
Spire1	3.14	5.39
Sncaip	0.035	0.055
Snx24	1.29	2.17
Psmg2	24.385	41.66
Ppic	16.25	27.72
Ptpn2	7.5	12.65
Cep192	9.125	15.605
Ldlrad4	1.43	2.465
4930546C10Rik	0	0
Setbp1	0.34	0.58
Slc14a2	0.02	0.04
Galr1	0.005	0.015
Me2	10.33	17.435
Mapk4	0.975	1.66
Cxxc1	6.485	11.055
Mbd1	2.32	3.955
Smad2	7.685	12.99
Sall3	0.955	1.61
Atp9b	7.745	13.29
Rbfa	14.005	23.845
Gm16286	38.45	65.445
Pde6a	0.045	0.075
Csnk1a1	49.705	84.315
Il17b	1.51	2.65
Pcyox1l	12.47	21.575
Grpel2	3.425	5.86
Napg	5.055	8.63
Txnl1	12.71	21.34
Nars	31.64	53.845
Fech	2.365	4.01
Nedd4l	1.705	2.935
Lmnb1	37.725	64.355
C330018D20Rik	0.82	1.385
Megf10	0.54	0.885
Prrc1	2.34	4.005
Slc12a2	11.06	18.82
Fbn2	1.045	1.75
Slc27a6	0.02	0.035
Isoc1	4.7	8.06
Dctn4	4.485	7.59
Rbm22	6.265	10.56
Rps14	653.295	1122.1
Cd74	2.64	4.46
Tcof1	14.28	24.33
Tmx3	6.72	11.37
Camk2a	0.235	0.395
Cdx1	0.57	0.95
Pdgfrb	1.55	2.61
Csf1r	0.22	0.375
Hmgxb3	5.635	9.61
Gnaq	3.81	6.49
Psat1	42.755	73.015
Tle4	9.33	15.965
Cndp2	13.305	22.57
Timm21	6.335	10.865
Cyb5a	29.34	49.755
Cbln2	0.025	0.05
Slc22a6	0	0
Scgb1a1	0	0
Asrgl1	3.315	5.68
Gm9750	0.015	0.025
Anxa1	18.275	30.57
Incenp	15.73	26.94
Fth1	96.115	163.17
Rab3il1	0.88	1.505
Fads3	0.8	1.33
Fads2	10.445	17.98
Tmem138	4.145	7.11
Tmem216	6.11	10.41
Sdhaf2	3.25	5.515
Cd5	0.005	0.005
Cd6	0.865	1.485
Ms4a7	0.085	0.14
Ms4a1	0.08	0.135
Ms4a4c	0	0
Ms4a6b	0	0
Ms4a4d	0.26	0.43
Ms4a6d	0.645	1.12
Ms4a2	0	0
Ms4a3	0	0
Gif	0	0
Mrpl16	6.7	11.38
Osbp	3.6	6.115
Fam111a	2.455	4.115
Keg1	0	0
Zfp91	6.87	11.66
Lpxn	0.105	0.185
Gna14	0.385	0.67
Rfk	3.235	5.405
Pcsk5	0.235	0.39
Ostf1	3.815	6.43
Carnmt1	4.9	8.3
Trpm6	0.125	0.215
1700025F22Rik	0	0
1700017D01Rik	0.005	0.005
Ms4a8a	0	0
Ms4a10	1.49	2.565
Ccdc86	5.77	9.86
Zp1	0.015	0.025
Prpf19	28.655	48.615
Tmem132a	12.87	22.335
Slc15a3	0.795	1.38
Pga5	0.7	1.17
Ddb1	99.765	169.545
Fen1	23.51	40.06
Syt7	0.36	0.62
Aldh1a7	0.06	0.1
Tmc1	0.025	0.045
Zfand5	8.565	14.43
Tmem2	23.42	40.73
Slc22a19	0	0
Rtn3	16.69	28.485
Atl3	3.72	6.31
Gm16437	0.405	0.68
Naa40	7.245	12.325
Lipo3	2.035	3.445
Otub1	25.395	43.34
Lipf	0	0
Cdc42bpg	8.72	14.99
Lipn	0.005	0.01
Lipk	0	0
Ehd1	35.12	59.425
Atg2a	7.78	13.4
Ankrd22	0.185	0.305
Stambpl1	0.915	1.54
Ppp2r5b	4.455	7.605
Fas	0.655	1.115
Cdc37l1	6.985	11.885
Lipa	2.57	4.42
Ak3	2.94	5.015
Gpha2	1.02	1.76
Rcl1	13.28	22.485
Majin	0.245	0.405
Snx15	2.275	3.845
Jak2	1.68	2.81
Sac3d1	5.895	10.025
Cdca5	10.97	18.71
Zfpl1	8.695	14.845
Tnfrsf25	0.99	1.7
Kif20b	9.6	16.34
Vps51	8.415	14.395
Htr7	0.02	0.03
Tm7sf2	4.295	7.41
Rpp30	5.105	8.6
Ankrd1	1.4	2.4
Pcgf5	3.405	5.745
Mlana	0.88	1.505
Syvn1	7.67	13.155
Il33	0.245	0.405
Tnks2	83.035	142.85
Tjp2	19.57	33.375
Trpd52l3	0.015	0.02
Frmd8	7.81	13.27
Uhrf2	9.365	15.9
Slc25a45	0.32	0.55
Rad9a	5.23	8.975
Dpf2	8.465	14.435
Gldc	51.185	88.435
Mrpl21	21.315	36.245
Rps6kb2	4.455	7.67
Ighmbp2	3.205	5.485
Pola2	9.535	16.225
Coro1b	16.415	28.045
Dmrt1	2.295	3.865
Eif1ad	12.915	22.055
Cabp4	0.31	0.53
Chka	17.315	29.575
Banf1	63.085	108.355
Tmem134	7.61	12.9
Cst6	0.035	0.06
Aip	5.185	8.83
Pitpnm1	2.405	4.16
Sf3b2	27.075	46.02
Pold4	1.305	2.21
Pacs1	1.04	1.765
Cdk2ap2	8.615	14.715
Cabp2	0	0
Grk2	13.955	24.01
Klc2	4.025	6.925
Mbl2	0.04	0.07
Acy3	0.27	0.46
Pip5k1b	0.43	0.725
Dkk1	1.005	1.65
Gm49405	5.89	10.1
Rab1b	18.135	30.72
Doc2g	1.55	2.715
Cnih2	0.67	1.155
Yif1a	14.685	25.19
Cbwd1	4.275	7.21
Rin1	1.76	2.955
Aldh3b1	0.225	0.39
Asah2	0.085	0.15
Rce1	12.05	20.74
Slc29a2	4.14	7.12
Pcx	8.22	14.09
Minpp1	13.08	22.335
Apba1	0.04	0.07
Papss2	0.19	0.32
Cpt1a	4.195	7.255
Peli3	0.36	0.625
Mrpl11	5.33	9.02
Lao1	0	0
Tesmin	0.475	0.83
Mus81	7.165	12.26
Gal	0.115	0.205
Ppp6r3	17.89	30.535
Efemp2	4.68	7.93
Ctsw	1.165	2.02
Fibp	5.53	9.47
Fosl1	0.335	0.555
Lrp5	14.57	25.305
Drap1	25.785	43.945
Smarca2	0.425	0.715
Ovol1	0.15	0.265
Vldlr	1.26	2.17
Rnaseh2c	20.21	34.335
Kat5	5.915	10.115
Rela	1.925	3.275
Slc1a1	1.36	2.345
Kcnk7	0.125	0.215
Ehbp1l1	2	3.36
Fam89b	2.72	4.615
Ltbp3	0.52	0.87
Scyl1	7.775	13.27
Capn1	3.87	6.59
Smc5	5.605	9.47
Arl2	9.245	15.73
Men1	13.115	22.405
Map4k2	7.455	12.81
Sf1	34.755	59.295
Rps6ka4	2.3	3.925
Prdx5	11.51	19.685
Esrra	5.88	10.1
Kcnk4	0.23	0.385
Gpr137	3.655	6.245
Bad	3.105	5.26
Plcb3	7.355	12.55
Vegfb	2.545	4.38
Dnajc4	3.26	5.615
Fermt3	0.365	0.625
Stip1	51.865	87.86
Rcor2	38.1	65.21
Mark2	9.025	15.455
Spindoc	3.965	6.76
Lgals12	0.1	0.175
Hrasls5	0	0
Smc3	14.09	23.83
Pdcd4	2.335	3.935
Shoc2	3.6	6.08
Gpam	4.59	7.925
Tectb	0	0
Acsl5	4.95	8.53
Zdhhc6	8.83	15.08
Vti1a	0.76	1.295
Tcf7l2	0.605	1.03
Hhex	0.37	0.63
Cyp26a1	0.965	1.62
Cep55	8.61	14.735
Rbp4	0.65	1.12
Eif3a	35.78	60.7
Pde6c	0	0
Fam45a	4.095	6.935
Prdx3	8.445	14.315
Plce1	0.58	1
Noc3l	5.5	9.29
Hells	35.99	60.725
Cyp2c55	0.065	0.105
Cyp2c39	0.01	0.015
Cyp2c40	0.01	0.02
Sorbs1	1.435	2.425
Aldh18a1	12.035	20.77
Tctn3	2.47	4.265
Ccnj	1.35	2.295
Tll2	0.01	0.02
Dntt	0.005	0.005
Tm9sf3	13.37	22.77
Pik3ap1	0.145	0.245
Lcor	1.705	2.9
Slit1	0.27	0.455
Smndc1	6.22	10.54
Mxi1	1.935	3.315
Add3	1.675	2.865
Xpnpep1	34.155	58.41
Trim8	6.465	11.08
Arl3	6.005	10.09
Sfxn2	1.835	3.14
Maoa	2.315	3.915
Efhc2	0.765	1.275
Fundc1	1.805	3.045
Nt5c2	5.175	8.83
Dusp21	0	0
Msr1	0	0
Pdcd11	25.545	43.61
Taf5	3.825	6.545
Pcgf6	6.215	10.53
Samt4	0	0
Nr0b1	14.77	25.48
5430427O19Rik	0.005	0.01
Gk	1.75	3.005
Slk	5.025	8.55
Col17a1	0.51	0.885
Sfr1	15.835	26.69
Gsto1	8.905	14.935
Gsto2	0.065	0.115
Habp2	0.23	0.375
Casp7	0.84	1.41
Dclre1a	2.21	3.77
Nhlrc2	3.81	6.49
Tdrd1	0.175	0.3
Vwa2	0.915	1.59
Afap1l2	0.715	1.21
Ablim1	1.26	2.155
Trub1	2.485	4.25
Gfra1	1.04	1.795
Ccdc172	0.415	0.685
Pnliprp2	0.06	0.095
Hspa12a	0.15	0.26
Slc18a2	0.035	0.055
3110040N11Rik	6.855	11.6
Btbd1	3.625	6.205
Hdgfl3	0.715	1.22
Bnc1	0.045	0.075
Gcgr	0.095	0.165
Bhlhe22	0.095	0.16
Ppp1r27	0.02	0.04
